timestamp,heart_rate,hrv,spo2,respiration_rate,movement,skin_temperature
2026-07-05 22:57:00,63,58,97,13.6,0.33,32.4
2026-07-05 22:58:00,59,54,97,14.1,0.45,32.0
2026-07-05 22:59:00,59,56,98,13.7,0.12,32.4
2026-07-05 23:00:00,65,46,98,13.7,0.29,32.2
2026-07-05 23:01:00,59,63,98,15.4,0.42,32.5
2026-07-05 23:02:00,65,58,98,13.8,0.31,32.3
2026-07-05 23:03:00,63,48,98,13.8,0.42,32.5
2026-07-05 23:04:00,65,59,97,13.9,0.18,32.3
2026-07-05 23:05:00,65,59,97,13.2,0.3,32.2
2026-07-05 23:06:00,58,57,98,14.5,0.07,32.4
2026-07-05 23:07:00,60,57,98,12.3,0.24,32.5
2026-07-05 23:08:00,55,64,98,14.7,0.24,32.5
2026-07-05 23:09:00,63,56,98,14.2,0.21,32.4
2026-07-05 23:10:00,60,57,98,13.2,0.29,32.6
2026-07-05 23:11:00,58,50,98,14.7,0.3,32.6
2026-07-05 23:12:00,63,60,98,15.9,0.28,32.1
2026-07-05 23:13:00,65,52,98,15.0,0.14,32.2
2026-07-05 23:14:00,55,50,98,14.4,0.33,32.2
2026-07-05 23:15:00,53,55,97,14.4,0.37,32.4
2026-07-05 23:16:00,62,56,98,13.4,0.28,32.4
2026-07-05 23:17:00,62,53,98,13.8,0.29,32.5
2026-07-05 23:18:00,54,47,97,12.1,0.23,32.5
2026-07-05 23:19:00,59,56,98,15.1,0.29,32.6
2026-07-05 23:20:00,60,50,97,12.8,0.21,32.3
2026-07-05 23:21:00,62,65,97,14.3,0.2,32.5
2026-07-05 23:22:00,60,44,98,13.5,0.25,32.2
2026-07-05 23:23:00,58,58,97,14.3,0.34,32.6
2026-07-05 23:24:00,59,46,98,13.7,0.41,32.5
2026-07-05 23:25:00,60,57,98,15.7,0.31,32.4
2026-07-05 23:26:00,63,50,98,14.0,0.33,32.3
2026-07-05 23:27:00,55,43,97,13.6,0.27,32.7
2026-07-05 23:28:00,63,49,98,13.7,0.27,32.4
2026-07-05 23:29:00,62,53,98,13.1,0.3,32.8
2026-07-05 23:30:00,61,64,98,14.5,0.29,32.4
2026-07-05 23:31:00,58,58,97,14.5,0.41,32.5
2026-07-05 23:32:00,59,58,97,14.7,0.12,32.3
2026-07-05 23:33:00,54,46,98,14.7,0.23,32.2
2026-07-05 23:34:00,51,52,98,14.3,0.24,32.5
2026-07-05 23:35:00,55,53,98,13.9,0.38,32.5
2026-07-05 23:36:00,62,51,98,15.3,0.2,32.3
2026-07-05 23:37:00,64,54,98,13.6,0.45,32.4
2026-07-05 23:38:00,61,64,97,13.2,0.26,32.5
2026-07-05 23:39:00,55,59,97,14.9,0.06,32.3
2026-07-05 23:40:00,55,50,98,13.9,0.27,32.4
2026-07-05 23:41:00,61,49,98,14.5,0.34,32.5
2026-07-05 23:42:00,61,67,97,13.8,0.22,32.2
2026-07-05 23:43:00,56,50,97,14.3,0.31,32.3
2026-07-05 23:44:00,63,59,97,13.5,0.35,32.4
2026-07-05 23:45:00,56,55,98,13.3,0.32,32.2
2026-07-05 23:46:00,64,62,97,14.3,0.06,32.2
2026-07-05 23:47:00,59,49,98,15.6,0.18,32.3
2026-07-05 23:48:00,61,65,97,14.2,0.48,32.2
2026-07-05 23:49:00,56,52,97,14.7,0.32,32.1
2026-07-05 23:50:00,62,52,98,13.5,0.24,32.5
2026-07-05 23:51:00,62,58,97,14.4,0.2,32.4
2026-07-05 23:52:00,56,58,97,13.0,0.37,32.4
2026-07-05 23:53:00,58,64,97,14.0,0.33,32.3
2026-07-05 23:54:00,61,52,97,15.1,0.2,32.0
2026-07-05 23:55:00,65,70,97,12.5,0.27,32.4
2026-07-05 23:56:00,59,48,98,14.4,0.15,32.5
2026-07-05 23:57:00,66,56,97,13.9,0.36,32.1
2026-07-05 23:58:00,60,53,98,13.9,0.47,32.2
2026-07-05 23:59:00,62,57,97,14.1,0.42,32.4
2026-07-06 00:00:00,55,55,97,13.7,0.29,32.1
2026-07-06 00:01:00,55,58,97,11.9,0.38,32.4
2026-07-06 00:02:00,58,47,98,14.3,0.54,32.5
2026-07-06 00:03:00,61,54,98,14.5,0.43,32.3
2026-07-06 00:04:00,59,52,98,15.2,0.25,32.3
2026-07-06 00:05:00,61,54,98,12.2,0.22,32.3
2026-07-06 00:06:00,53,49,97,13.8,0.41,32.4
2026-07-06 00:07:00,57,55,98,13.2,0.21,32.5
2026-07-06 00:08:00,59,59,97,14.6,0.2,32.4
2026-07-06 00:09:00,59,48,97,14.5,0.26,32.2
2026-07-06 00:10:00,52,83,97,11.3,0.03,33.0
2026-07-06 00:11:00,53,80,98,11.4,0.1,32.8
2026-07-06 00:12:00,53,74,98,12.1,0.12,32.9
2026-07-06 00:13:00,49,59,98,12.6,0.03,32.6
2026-07-06 00:14:00,52,82,98,12.3,0.06,32.7
2026-07-06 00:15:00,52,73,98,13.0,0.17,32.9
2026-07-06 00:16:00,50,81,98,12.2,0.14,32.9
2026-07-06 00:17:00,53,79,98,11.1,0.08,32.7
2026-07-06 00:18:00,49,87,98,12.7,0.09,33.0
2026-07-06 00:19:00,52,76,98,12.2,0.08,32.6
2026-07-06 00:20:00,52,74,98,12.4,0.08,32.8
2026-07-06 00:21:00,52,74,98,11.9,0.04,32.6
2026-07-06 00:22:00,53,78,97,11.9,0.13,32.9
2026-07-06 00:23:00,54,75,98,11.5,0.1,32.8
2026-07-06 00:24:00,55,83,98,11.4,0.06,32.8
2026-07-06 00:25:00,52,71,98,11.7,0.05,32.8
2026-07-06 00:26:00,51,77,98,11.4,0.06,33.0
2026-07-06 00:27:00,50,60,97,12.0,0.08,32.8
2026-07-06 00:28:00,54,56,98,12.8,0.02,32.8
2026-07-06 00:29:00,50,69,98,12.7,0.17,32.8
2026-07-06 00:30:00,56,75,98,12.0,0.09,32.8
2026-07-06 00:31:00,58,81,98,12.5,0.06,32.7
2026-07-06 00:32:00,54,75,98,12.0,0.1,32.9
2026-07-06 00:33:00,48,80,98,11.3,0.08,32.8
2026-07-06 00:34:00,51,81,98,11.8,0.05,32.8
2026-07-06 00:35:00,53,68,98,12.0,0.01,32.6
2026-07-06 00:36:00,52,73,98,12.0,0.09,32.9
2026-07-06 00:37:00,50,67,98,12.1,0.14,32.7
2026-07-06 00:38:00,47,63,98,11.7,0.06,32.8
2026-07-06 00:39:00,51,82,98,11.6,0.1,32.6
2026-07-06 00:40:00,53,76,98,12.8,0.05,33.0
2026-07-06 00:41:00,52,66,98,11.5,0.04,32.8
2026-07-06 00:42:00,53,71,98,12.6,0.15,32.9
2026-07-06 00:43:00,55,62,98,11.6,0.09,32.7
2026-07-06 00:44:00,52,88,98,12.2,0.07,32.8
2026-07-06 00:45:00,52,78,98,12.8,0.1,32.9
2026-07-06 00:46:00,50,74,98,12.4,0.09,32.9
2026-07-06 00:47:00,53,83,98,11.8,0.1,32.4
2026-07-06 00:48:00,53,49,97,12.2,0.1,32.7
2026-07-06 00:49:00,51,85,98,13.1,0.08,32.8
2026-07-06 00:50:00,55,76,98,11.9,0.08,32.6
2026-07-06 00:51:00,51,70,98,12.0,0.07,32.8
2026-07-06 00:52:00,52,79,98,11.5,0.14,32.8
2026-07-06 00:53:00,49,78,98,11.2,0.09,32.9
2026-07-06 00:54:00,53,79,98,12.2,0.06,32.7
2026-07-06 00:55:00,54,85,98,12.7,0.07,32.8
2026-07-06 00:56:00,54,76,98,12.4,0.08,32.7
2026-07-06 00:57:00,51,79,98,12.2,0.11,32.8
2026-07-06 00:58:00,54,78,98,12.7,0.05,32.6
2026-07-06 00:59:00,50,68,98,11.9,0.06,32.9
2026-07-06 01:00:00,53,77,98,12.3,0.03,32.8
2026-07-06 01:01:00,48,75,98,12.5,0.14,32.8
2026-07-06 01:02:00,51,78,98,12.0,0.13,32.7
2026-07-06 01:03:00,54,80,98,12.5,0.11,32.8
2026-07-06 01:04:00,50,69,98,12.3,0.03,32.9
2026-07-06 01:05:00,50,74,98,13.2,0.01,33.0
2026-07-06 01:06:00,52,78,98,12.2,0.07,33.0
2026-07-06 01:07:00,51,83,98,12.0,0.03,32.9
2026-07-06 01:08:00,55,74,98,11.4,0.07,32.6
2026-07-06 01:09:00,50,77,98,13.4,0.05,33.0
2026-07-06 01:10:00,52,74,98,12.0,0.09,32.8
2026-07-06 01:11:00,49,64,98,11.9,0.05,32.8
2026-07-06 01:12:00,54,76,98,12.6,0.16,32.9
2026-07-06 01:13:00,54,84,98,12.3,0.11,32.9
2026-07-06 01:14:00,50,80,98,11.6,0.15,32.9
2026-07-06 01:15:00,55,73,98,11.9,0.09,32.8
2026-07-06 01:16:00,54,72,98,11.5,0.1,32.8
2026-07-06 01:17:00,51,73,98,11.9,0.17,32.8
2026-07-06 01:18:00,52,60,98,11.9,0.05,33.0
2026-07-06 01:19:00,52,84,98,12.0,0.08,32.8
2026-07-06 01:20:00,55,59,97,11.7,0.08,32.9
2026-07-06 01:21:00,53,72,98,12.5,0.09,32.9
2026-07-06 01:22:00,53,71,98,12.1,0.08,33.0
2026-07-06 01:23:00,47,65,98,11.8,0.07,32.6
2026-07-06 01:24:00,50,69,98,12.9,0.06,32.8
2026-07-06 01:25:00,50,62,98,11.5,0.08,32.6
2026-07-06 01:26:00,50,76,98,12.2,0.01,32.9
2026-07-06 01:27:00,50,79,98,11.3,0.06,32.8
2026-07-06 01:28:00,53,74,98,12.5,0.07,32.9
2026-07-06 01:29:00,56,89,98,11.5,0.15,32.7
2026-07-06 01:30:00,49,72,98,11.9,0.05,32.7
2026-07-06 01:31:00,51,69,98,12.1,0.12,32.7
2026-07-06 01:32:00,52,70,97,11.3,0.01,32.5
2026-07-06 01:33:00,50,84,98,12.6,0.1,32.9
2026-07-06 01:34:00,50,79,98,11.7,0.11,32.9
2026-07-06 01:35:00,51,67,98,12.0,0.1,32.7
2026-07-06 01:36:00,52,79,98,12.8,0.14,32.7
2026-07-06 01:37:00,55,71,98,12.0,0.06,32.6
2026-07-06 01:38:00,52,64,98,12.8,0.04,32.8
2026-07-06 01:39:00,51,71,98,12.0,0.17,32.7
2026-07-06 01:40:00,54,76,98,11.8,0.08,32.8
2026-07-06 01:41:00,50,80,98,12.3,0.16,33.0
2026-07-06 01:42:00,51,78,98,12.0,0.05,33.0
2026-07-06 01:43:00,53,73,98,10.9,0.02,32.9
2026-07-06 01:44:00,52,77,98,12.0,0.18,32.9
2026-07-06 01:45:00,52,72,98,10.9,0.09,32.9
2026-07-06 01:46:00,49,70,98,11.5,0.08,32.5
2026-07-06 01:47:00,53,80,98,10.8,0.03,32.9
2026-07-06 01:48:00,46,73,98,12.4,0.05,32.8
2026-07-06 01:49:00,53,88,98,12.2,0.01,32.9
2026-07-06 01:50:00,50,71,98,11.2,0.09,32.9
2026-07-06 01:51:00,53,64,98,12.4,0.01,32.7
2026-07-06 01:52:00,54,77,98,12.9,0.1,32.9
2026-07-06 01:53:00,57,74,98,12.2,0.1,32.7
2026-07-06 01:54:00,50,91,98,11.6,0.13,32.8
2026-07-06 01:55:00,51,79,98,12.2,0.18,32.9
2026-07-06 01:56:00,51,71,98,11.9,0.06,32.9
2026-07-06 01:57:00,49,81,98,12.2,0.02,33.0
2026-07-06 01:58:00,54,82,97,12.4,0.1,32.6
2026-07-06 01:59:00,52,78,98,12.1,0.09,33.0
2026-07-06 02:00:00,54,55,98,11.9,0.01,32.8
2026-07-06 02:01:00,54,67,98,11.5,0.05,33.0
2026-07-06 02:02:00,51,78,97,12.9,0.11,32.8
2026-07-06 02:03:00,53,65,98,11.8,0.07,32.7
2026-07-06 02:04:00,51,80,98,12.3,0.08,32.9
2026-07-06 02:05:00,51,91,97,12.6,0.15,32.7
2026-07-06 02:06:00,56,82,98,12.0,0.07,32.8
2026-07-06 02:07:00,53,85,98,11.5,0.12,32.9
2026-07-06 02:08:00,53,80,98,11.5,0.04,32.6
2026-07-06 02:09:00,52,74,98,10.5,0.02,32.9
2026-07-06 02:10:00,61,52,97,16.4,0.17,32.6
2026-07-06 02:11:00,73,58,97,14.4,0.15,32.7
2026-07-06 02:12:00,64,48,98,14.9,0.36,32.6
2026-07-06 02:13:00,71,52,97,14.3,0.11,32.7
2026-07-06 02:14:00,68,50,97,13.6,0.07,32.4
2026-07-06 02:15:00,64,56,97,12.7,0.16,32.6
2026-07-06 02:16:00,72,43,97,16.7,0.22,32.7
2026-07-06 02:17:00,64,52,97,14.2,0.25,32.4
2026-07-06 02:18:00,65,51,97,15.0,0.13,32.5
2026-07-06 02:19:00,63,44,97,13.8,0.24,32.5
2026-07-06 02:20:00,62,47,98,15.3,0.16,32.7
2026-07-06 02:21:00,56,50,98,15.1,0.19,32.7
2026-07-06 02:22:00,68,40,97,15.2,0.12,32.8
2026-07-06 02:23:00,63,40,97,12.3,0.16,32.6
2026-07-06 02:24:00,62,55,98,14.8,0.01,32.7
2026-07-06 02:25:00,66,52,97,13.8,0.34,32.5
2026-07-06 02:26:00,67,42,97,16.5,0.16,32.7
2026-07-06 02:27:00,65,49,98,14.8,0.04,32.5
2026-07-06 02:28:00,66,52,97,14.3,0.13,32.6
2026-07-06 02:29:00,58,47,97,15.8,0.24,32.6
2026-07-06 02:30:00,62,51,97,13.9,0.1,32.5
2026-07-06 02:31:00,59,51,97,13.4,0.18,32.6
2026-07-06 02:32:00,65,50,97,13.7,0.18,32.7
2026-07-06 02:33:00,55,52,98,14.8,0.22,32.5
2026-07-06 02:34:00,64,42,96,15.9,0.1,32.5
2026-07-06 02:35:00,58,43,97,14.3,0.21,32.7
2026-07-06 02:36:00,65,51,98,13.9,0.18,32.7
2026-07-06 02:37:00,69,43,97,16.4,0.22,32.6
2026-07-06 02:38:00,63,48,97,14.7,0.18,32.6
2026-07-06 02:39:00,61,53,98,13.2,0.21,32.5
2026-07-06 02:40:00,66,50,97,16.2,0.2,32.7
2026-07-06 02:41:00,55,58,97,16.1,0.08,32.5
2026-07-06 02:42:00,65,50,97,16.1,0.04,32.7
2026-07-06 02:43:00,64,49,97,15.5,0.01,32.7
2026-07-06 02:44:00,58,50,97,16.2,0.17,32.5
2026-07-06 02:45:00,62,56,97,14.6,0.16,32.4
2026-07-06 02:46:00,66,41,97,15.1,0.37,32.5
2026-07-06 02:47:00,64,59,98,14.3,0.2,32.6
2026-07-06 02:48:00,65,47,97,13.4,0.19,32.7
2026-07-06 02:49:00,63,42,97,15.4,0.12,32.6
2026-07-06 02:50:00,58,45,97,16.2,0.13,32.7
2026-07-06 02:51:00,62,51,97,15.9,0.14,32.4
2026-07-06 02:52:00,58,47,97,15.4,0.14,32.9
2026-07-06 02:53:00,57,51,97,14.5,0.19,32.3
2026-07-06 02:54:00,65,60,97,15.3,0.26,32.6
2026-07-06 02:55:00,62,39,97,14.9,0.1,32.6
2026-07-06 02:56:00,62,47,97,13.7,0.26,32.4
2026-07-06 02:57:00,61,60,98,15.1,0.1,32.5
2026-07-06 02:58:00,64,50,97,15.0,0.16,32.4
2026-07-06 02:59:00,62,55,97,14.8,0.11,32.6
2026-07-06 03:00:00,62,57,97,13.7,0.23,32.5
2026-07-06 03:01:00,62,52,97,15.9,0.12,32.5
2026-07-06 03:02:00,61,47,98,15.6,0.32,32.9
2026-07-06 03:03:00,60,50,97,14.2,0.13,32.5
2026-07-06 03:04:00,60,49,97,15.8,0.11,32.9
2026-07-06 03:05:00,62,50,97,16.7,0.27,32.6
2026-07-06 03:06:00,59,51,97,16.5,0.24,32.6
2026-07-06 03:07:00,54,45,97,16.2,0.27,32.4
2026-07-06 03:08:00,65,55,97,15.0,0.2,32.6
2026-07-06 03:09:00,57,48,97,14.9,0.13,32.5
2026-07-06 03:10:00,64,52,97,14.6,0.19,32.4
2026-07-06 03:11:00,66,50,97,16.0,0.02,32.4
2026-07-06 03:12:00,65,50,97,14.5,0.23,32.7
2026-07-06 03:13:00,66,49,97,15.8,0.28,32.7
2026-07-06 03:14:00,60,53,97,16.6,0.11,32.6
2026-07-06 03:15:00,67,50,97,15.4,0.23,32.6
2026-07-06 03:16:00,65,49,98,14.1,0.13,32.6
2026-07-06 03:17:00,68,43,97,13.0,0.18,32.5
2026-07-06 03:18:00,62,53,97,15.2,0.16,32.7
2026-07-06 03:19:00,66,47,97,16.0,0.21,32.4
2026-07-06 03:20:00,67,45,98,16.0,0.2,32.6
2026-07-06 03:21:00,63,53,97,15.2,0.25,32.5
2026-07-06 03:22:00,62,44,97,13.2,0.24,32.8
2026-07-06 03:23:00,70,42,97,16.4,0.14,32.6
2026-07-06 03:24:00,56,51,97,15.2,0.06,32.7
2026-07-06 03:25:00,68,46,97,12.8,0.16,32.5
2026-07-06 03:26:00,58,52,97,13.9,0.14,32.7
2026-07-06 03:27:00,66,49,97,13.8,0.18,32.6
2026-07-06 03:28:00,62,52,97,15.5,0.22,32.2
2026-07-06 03:29:00,69,35,97,16.0,0.15,32.4
2026-07-06 03:30:00,70,61,90,7.8,0.54,32.2
2026-07-06 03:31:00,66,49,85,9.0,0.28,32.3
2026-07-06 03:32:00,70,63,87,9.7,0.72,32.2
2026-07-06 03:33:00,79,50,87,7.3,0.75,32.1
2026-07-06 03:34:00,77,44,86,7.6,0.45,32.7
2026-07-06 03:35:00,73,56,88,7.5,0.68,32.2
2026-07-06 03:36:00,75,48,87,8.4,0.59,32.3
2026-07-06 03:37:00,73,54,88,8.6,0.91,32.4
2026-07-06 03:38:00,77,60,90,11.1,0.68,32.7
2026-07-06 03:39:00,76,60,89,7.0,0.53,32.5
2026-07-06 03:40:00,75,52,88,7.8,0.62,32.4
2026-07-06 03:41:00,76,50,90,7.8,0.5,32.5
2026-07-06 03:42:00,76,61,91,6.4,0.55,32.4
2026-07-06 03:43:00,76,68,89,8.9,0.64,32.4
2026-07-06 03:44:00,72,62,90,7.3,0.56,32.5
2026-07-06 03:45:00,56,66,98,14.0,0.46,32.4
2026-07-06 03:46:00,60,51,98,14.4,0.3,32.3
2026-07-06 03:47:00,60,55,97,12.8,0.36,32.0
2026-07-06 03:48:00,61,52,98,13.6,0.37,32.3
2026-07-06 03:49:00,60,59,97,14.8,0.2,32.4
2026-07-06 03:50:00,63,59,98,13.4,0.16,32.3
2026-07-06 03:51:00,62,58,98,13.1,0.38,32.2
2026-07-06 03:52:00,63,72,98,14.5,0.25,32.1
2026-07-06 03:53:00,58,48,97,15.4,0.33,32.5
2026-07-06 03:54:00,59,54,98,14.0,0.35,32.4
2026-07-06 03:55:00,59,47,97,13.8,0.31,32.2
2026-07-06 03:56:00,60,55,97,13.3,0.34,32.5
2026-07-06 03:57:00,57,56,98,14.6,0.29,32.3
2026-07-06 03:58:00,58,58,98,14.5,0.31,32.5
2026-07-06 03:59:00,60,60,98,13.4,0.12,32.6
2026-07-06 04:00:00,61,45,97,14.6,0.27,32.3
2026-07-06 04:01:00,64,49,97,14.2,0.34,32.5
2026-07-06 04:02:00,63,56,98,13.8,0.31,32.4
2026-07-06 04:03:00,61,60,98,14.0,0.22,32.4
2026-07-06 04:04:00,60,56,98,13.6,0.34,32.6
2026-07-06 04:05:00,60,69,97,14.3,0.22,32.3
2026-07-06 04:06:00,61,60,98,15.0,0.29,32.4
2026-07-06 04:07:00,68,57,97,13.4,0.21,32.5
2026-07-06 04:08:00,59,56,97,14.6,0.22,32.2
2026-07-06 04:09:00,61,59,98,13.4,0.37,32.3
2026-07-06 04:10:00,58,49,98,14.5,0.36,32.6
2026-07-06 04:11:00,68,45,97,13.5,0.21,32.2
2026-07-06 04:12:00,59,48,98,14.0,0.35,32.5
2026-07-06 04:13:00,62,53,98,14.2,0.11,32.2
2026-07-06 04:14:00,55,55,97,13.6,0.5,32.5
2026-07-06 04:15:00,62,49,97,14.0,0.32,32.1
2026-07-06 04:16:00,59,55,97,13.3,0.25,32.4
2026-07-06 04:17:00,60,59,98,13.8,0.25,32.5
2026-07-06 04:18:00,62,52,98,14.8,0.43,32.7
2026-07-06 04:19:00,57,55,98,13.9,0.24,32.2
2026-07-06 04:20:00,60,50,98,13.4,0.19,32.4
2026-07-06 04:21:00,60,58,98,14.2,0.35,32.2
2026-07-06 04:22:00,56,64,97,13.2,0.3,32.4
2026-07-06 04:23:00,57,53,98,13.4,0.16,32.5
2026-07-06 04:24:00,61,51,97,13.4,0.29,32.6
2026-07-06 04:25:00,57,54,98,12.1,0.4,32.2
2026-07-06 04:26:00,61,56,98,14.4,0.06,32.3
2026-07-06 04:27:00,60,54,98,14.6,0.36,32.4
2026-07-06 04:28:00,54,52,98,13.1,0.36,32.5
2026-07-06 04:29:00,60,37,97,15.5,0.25,32.1
2026-07-06 04:30:00,64,55,98,14.2,0.35,32.5
2026-07-06 04:31:00,62,69,98,12.7,0.34,32.6
2026-07-06 04:32:00,64,52,98,14.7,0.56,32.3
2026-07-06 04:33:00,58,53,97,13.3,0.02,32.3
2026-07-06 04:34:00,61,52,98,14.0,0.43,32.4
2026-07-06 04:35:00,62,57,98,14.0,0.35,32.5
2026-07-06 04:36:00,59,57,98,13.8,0.34,32.6
2026-07-06 04:37:00,63,55,97,14.4,0.08,32.6
2026-07-06 04:38:00,61,61,97,12.8,0.33,32.4
2026-07-06 04:39:00,59,56,98,14.7,0.4,32.5
2026-07-06 04:40:00,64,54,97,13.8,0.38,32.3
2026-07-06 04:41:00,59,51,98,14.6,0.37,32.5
2026-07-06 04:42:00,60,56,97,12.3,0.32,32.4
2026-07-06 04:43:00,64,64,98,13.2,0.26,32.5
2026-07-06 04:44:00,68,64,98,13.7,0.21,32.5
2026-07-06 04:45:00,57,54,97,15.3,0.26,32.0
2026-07-06 04:46:00,62,51,98,13.9,0.27,32.5
2026-07-06 04:47:00,55,52,98,13.5,0.14,32.5
2026-07-06 04:48:00,63,55,97,14.6,0.13,32.4
2026-07-06 04:49:00,57,48,97,13.9,0.24,32.5
2026-07-06 04:50:00,59,61,98,13.4,0.21,32.2
2026-07-06 04:51:00,61,53,97,13.6,0.21,32.6
2026-07-06 04:52:00,55,46,98,15.1,0.23,32.3
2026-07-06 04:53:00,62,41,97,13.8,0.45,32.3
2026-07-06 04:54:00,60,62,98,13.5,0.3,32.7
2026-07-06 04:55:00,55,61,97,14.1,0.28,32.3
2026-07-06 04:56:00,57,57,98,13.9,0.31,32.5
2026-07-06 04:57:00,57,59,98,16.1,0.26,32.3
2026-07-06 04:58:00,62,60,97,13.7,0.35,32.3
2026-07-06 04:59:00,59,56,98,13.5,0.12,32.1
2026-07-06 05:00:00,56,47,97,13.0,0.23,32.3
2026-07-06 05:01:00,59,63,98,14.0,0.25,32.3
2026-07-06 05:02:00,61,59,97,14.0,0.1,32.4
2026-07-06 05:03:00,62,53,98,13.3,0.32,32.4
2026-07-06 05:04:00,60,54,98,14.7,0.44,32.4
2026-07-06 05:05:00,62,51,98,13.4,0.41,32.7
2026-07-06 05:06:00,60,42,97,15.0,0.36,32.4
2026-07-06 05:07:00,63,58,98,14.7,0.45,32.5
2026-07-06 05:08:00,63,53,97,15.4,0.32,32.5
2026-07-06 05:09:00,60,51,98,15.1,0.36,32.1
2026-07-06 05:10:00,52,87,98,11.1,0.17,32.9
2026-07-06 05:11:00,52,72,98,11.7,0.14,32.9
2026-07-06 05:12:00,52,76,98,12.5,0.04,32.6
2026-07-06 05:13:00,53,79,98,12.2,0.06,32.9
2026-07-06 05:14:00,52,72,98,13.0,0.01,32.9
2026-07-06 05:15:00,49,74,98,11.0,0.1,32.8
2026-07-06 05:16:00,48,81,98,12.7,0.1,32.8
2026-07-06 05:17:00,55,87,98,11.5,0.09,32.9
2026-07-06 05:18:00,48,78,98,12.3,0.15,32.8
2026-07-06 05:19:00,52,78,98,11.5,0.14,33.0
2026-07-06 05:20:00,50,82,98,12.2,0.1,32.9
2026-07-06 05:21:00,52,85,98,12.3,0.04,33.1
2026-07-06 05:22:00,53,80,97,11.6,0.14,32.8
2026-07-06 05:23:00,48,82,98,12.7,0.08,32.8
2026-07-06 05:24:00,54,69,98,11.9,0.12,32.6
2026-07-06 05:25:00,49,81,98,11.8,0.01,32.7
2026-07-06 05:26:00,52,82,98,12.8,0.05,32.7
2026-07-06 05:27:00,55,76,98,11.9,0.15,33.0
2026-07-06 05:28:00,50,75,98,11.5,0.08,32.8
2026-07-06 05:29:00,54,83,98,11.9,0.11,32.7
2026-07-06 05:30:00,53,74,98,11.5,0.15,32.8
2026-07-06 05:31:00,55,71,98,13.2,0.03,32.6
2026-07-06 05:32:00,55,69,98,11.7,0.09,32.7
2026-07-06 05:33:00,52,78,98,11.6,0.06,32.6
2026-07-06 05:34:00,51,76,98,11.9,0.08,32.7
2026-07-06 05:35:00,53,85,98,12.2,0.07,32.8
2026-07-06 05:36:00,55,79,97,12.2,0.14,32.8
2026-07-06 05:37:00,54,70,98,12.1,0.01,32.8
2026-07-06 05:38:00,55,62,98,11.5,0.08,32.8
